"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"162",162,428,"Ft Hamilton Pky",NA,"62nd St","Ft Hamilton Pky (N) Brooklyn","Ft Hamilton Pky (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-74.0067397658305,40.6322661151372,"162"
"164",164,279,"Fulton St",NA,"Lafayette Ave","Fulton St (G) Brooklyn","Fulton St (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.97621936799,40.6870274967036,"164"
"166",166,446,"Graham Ave",NA,"Metropolitan Ave","Graham Ave (L) Brooklyn","Graham Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9443994162632,40.714530048512,"166"
"168",168,447,"Grand St",NA,"Bushwick Ave","Grand St (L) Brooklyn","Grand St (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9406878319911,40.7119519477,"168"
"169",169,235,"Grant Ave",NA,"Pitkin Ave","Grant Ave (A) Brooklyn","Grant Ave (A)","Brooklyn",NA,"A","A","BLUE",NA,NA,-73.8655473597661,40.6766919538589,"169"
"170",170,288,"Greenpoint Ave",NA,"Manhattan Ave","Greenpoint Ave (G) Brooklyn","Greenpoint Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9542409990943,40.7301990010537,"170"
"171",171,453,"Halsey St",NA,"Wyckoff Ave","Halsey St (L) Brooklyn","Halsey St (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9050066928774,40.6961220723527,"171"
"172",172,317,"Halsey St",NA,"Broadway","Halsey St (J) Brooklyn","Halsey St (J)","Brooklyn",NA,"J","J","BROWN",NA,NA,-73.9153981458718,40.6857081528848,"172"
"178",178,450,"Jefferson St",NA,"Wyckoff Ave","Jefferson St (L) Brooklyn","Jefferson St (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9235763407693,40.7070261346799,"178"
"179",179,88,"Junius St",NA,"Livonia Ave","Junius St (3) Brooklyn","Junius St (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.9014867363192,40.6636572331858,"179"
"181",181,433,"Kings Hwy",NA,"W 7th St","Kings Hwy (N) Brooklyn","Kings Hwy (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9805739331573,40.605191187044,"181"
"182",182,353,"Kings Hwy",NA,"McDonald Ave","Kings Hwy (F) Brooklyn","Kings Hwy (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9721802394393,40.6041850916078,"182"
"183",183,83,"Kingston Ave",NA,"Eastern Pky","Kingston Ave (3) Brooklyn","Kingston Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.942116999551,40.6693969997676,"183"
"184",184,226,"Kingston-Throop Aves",NA,"Fulton St","Kingston-Throop Aves (C) Brooklyn","Kingston-Throop Aves (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.9406059983828,40.6798990013347,"184"
"185",185,333,"Knickerbocker Ave",NA,"Myrtle Ave","Knickerbocker Ave (M) Brooklyn","Knickerbocker Ave (M)","Brooklyn",NA,"M","M","BROWN",NA,NA,-73.9183476002476,40.6988037168576,"185"
"186",186,315,"Kosciusko St",NA,"Broadway","Kosciusko St (J) Brooklyn","Kosciusko St (J)","Brooklyn",NA,"J","J","BROWN",NA,NA,-73.9285760994662,40.6932118112224,"186"
"187",187,222,"Lafayette Ave",NA,"Fulton St","Lafayette Ave (C) Brooklyn","Lafayette Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.9763030000196,40.6869500012733,"187"
"189",189,231,"Liberty Ave",NA,"Pennsylvania Ave","Liberty Ave (C) Brooklyn","Liberty Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.8965003694458,40.6743983272708,"189"
"190",190,459,"Livonia Ave",NA,"Van Sinderen Ave","Livonia Ave (L) Brooklyn","Livonia Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9005050010106,40.6637779996774,"190"
"191",191,445,"Lorimer St","Metropolitan Ave","Metropolitan Ave","Lorimer St / Metropolitan Ave (L) Brooklyn","Lorimer St / Metropolitan Ave (L)","Brooklyn",NA,"L","G,L","GREY",NA,NA,-73.9493731184164,40.7140654811231,"191"
"194",194,286,"Metropolitan Ave","Lorimer St","Grand St","Metropolitan Ave / Lorimer St (G) Brooklyn","Metropolitan Ave / Lorimer St (G)","Brooklyn",NA,"G","G,L","LIME",NA,NA,-73.9514239995457,40.7127740012,"194"
"195",195,448,"Montrose Ave",NA,"Bushwick Ave","Montrose Ave (L) Brooklyn","Montrose Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9398477474979,40.7076500807802,"195"
"196",196,449,"Morgan Ave",NA,"Harrison Pl","Morgan Ave (L) Brooklyn","Morgan Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9318792852474,40.706339679654,"196"
"197",197,452,"Myrtle Ave","Wyckoff Ave","Wyckoff Ave","Myrtle Ave / Wyckoff Ave (L) Brooklyn","Myrtle Ave / Wyckoff Ave (L)","Brooklyn",NA,"L","L,M","GREY",NA,NA,-73.9111435971187,40.6995618769086,"197"
"199",199,283,"Myrtle Ave","Willoughby Ave","Marcy Ave","Myrtle Ave / Willoughby Ave (G) Brooklyn","Myrtle Ave / Willoughby Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9490670002724,40.6946190014221,"199"
"200",200,287,"Nassau Ave",NA,"Manhattan Ave","Nassau Ave (G) Brooklyn","Nassau Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.950778141163,40.723773598616,"200"
"201",201,396,"Neck Rd",NA,"E 16th St","Neck Rd (Q) Brooklyn","Neck Rd (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9551073018805,40.5949506739558,"201"
"202",202,356,"Neptune Ave",NA,NA,"Neptune Ave (F) Brooklyn","Neptune Ave (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9746379838461,40.5799810412434,"202"
"204",204,460,"New Lots Ave",NA,"Van Sinderen Ave","New Lots Ave (L) Brooklyn","New Lots Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.8993197267458,40.6590526522187,"204"
"205",205,91,"New Lots Ave",NA,"Livonia Ave","New Lots Ave (3) Brooklyn","New Lots Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.8825345718824,40.6664448825119,"205"
"206",206,429,"New Utrecht Ave","62nd St","62nd St","New Utrecht Ave / 62nd St (N) Brooklyn","New Utrecht Ave / 62nd St (N)","Brooklyn",NA,"N","D,M,N","YELLOW",NA,NA,-73.9970670019668,40.6258438177246,"206"
"211",211,82,"Nostrand Ave",NA,"Eastern Pky","Nostrand Ave (3) Brooklyn","Nostrand Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.9504889390331,40.6698485212408,"211"
"212",212,399,"Ocean Pkwy",NA,NA,"Ocean Pkwy (Q) Brooklyn","Ocean Pkwy (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9684963141031,40.5763081919483,"212"
"214",214,437,"Park Pl",NA,"Classon Ave","Park Pl (S) Brooklyn","Park Pl (S)","Brooklyn",NA,"S","S","GREY",NA,NA,-73.9578045231907,40.6743993341442,"214"
"215",215,386,"Parkside Ave",NA,"Ocean Ave","Parkside Ave (Q) Brooklyn","Parkside Ave (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9615703697366,40.6550022365176,"215"
"216",216,89,"Pennsylvania Ave",NA,"Livonia Ave","Pennsylvania Ave (3) Brooklyn","Pennsylvania Ave (3)","Brooklyn",NA,"3","3","RED-GREEN",NA,NA,-73.8941041328139,40.6647644339865,"216"
"220",220,228,"Ralph Ave",NA,"Fulton St","Ralph Ave (C) Brooklyn","Ralph Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.9216531645651,40.6788647361507,"220"
"221",221,229,"Rockaway Ave",NA,"Fulton St","Rockaway Ave (C) Brooklyn","Rockaway Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.9107919275396,40.6782696866914,"221"
